"mol","NAME_","available","H_acceptor","H_donor","B_rotN","N_O","logP","logD","logSw","PSA"
CCCCC(CC)CNC(CC1C(N2C(c3ccccc3NC2=S)=N1)=O)=O,K279-0466,4,4,2,9,6,4.05,2.44,-1.,105.9
CCCCCN(C(NC(Nc1ccccc1C)=O)=O)S(c1ccccc1)(=O)=O,1486-0902,4,4,2,11,7,4.88,3.95,-4.75,95.58
CCCCCOC(CSC1C(NC(NN=1)=O)=O)=O,1683-2875,20,6,2,8,7,1.79,1.32,-0.88,96.86
CCCCCS(CC1CC1([Cl])[Cl])=NS(c1ccc(C)cc1)(=O)=O,5753-0028,55,5,0,8,3,5.18,7.16,-6.69,53.35
CCCCCc1nc2ccccc2[nH]1,0375-0472,71,1,1,4,2,3.64,3.59,-2.15,28.68
CCCCCn1c2ccccc2nc1CNC(C(C)(C)C)=O,C174-0190,49,2,1,8,4,4.2,5.94,-0.62,46.92
CCCCNC(C1CCC(CC1)CNS(c1cccc2c1nsn2)(=O)=O)=O,C548-3642,258,7,2,9,7,3.15,3.96,-4.67,101.
CCCCNC(C1Cc2cc(ccc2N1C(C)=O)S(N1CCCC1)(=O)=O)=O,G384-0160,8,5,1,8,7,1.33,2.28,-6.,95.17
CCCNC(c1cccc(c1)[Br])=O,Y030-1909,16,2,1,3,2,2.62,2.376,-3.939,29.1
CCCNS(c1ccc(cc1)NC(Cc1cccs1)=O)(=O)=O,Y031-3213,55,5,2,4,5,2.47,2.47,-3.93,111.9
CCCS(c1nc(c(N2CCN(CC)CC2)s1)S(c1ccc(C)cc1)(=O)=O)(=O)=O,C848-0421,11,7,0,7,7,4.55,0.56,-0.73,132.7
CCCc1c2C(C(C#N)=C(N)Nc2on1)c1cc(ccc1F)[Br],6773-1943,41,5,3,4,5,3.9,2.62,-0.94,87.87
CCN(CC)CCOc1c2ccccc2c(c2ccc(cc2)OC)nn1,3544-1021,32,5,0,8,5,4.41,3.75,-2.89,47.48
CCN1C(=NC2CCSC=2C1=O)SCC(NC1CCCCC1)=O,C280-1168,52,5,1,6,5,2.22,3.39,-4.37,112.4
CCN1C=C(C(c2cc(ccc12)S(N(C)C)(=O)=O)=O)C(NCCCN1CC(C)CC(C)C1)=O,C519-1140,146,6,1,9,8,1.96,2.23,-1.24,90.03
CCN1C=C(C(c2cc(ccc12)S(N1CC(C)CC(C)C1)(=O)=O)=O)C(N1CCc2ccccc12)=O,C519-1901,115,5,0,5,7,3.61,4.01,-5.02,78.
CCN1CCN(CCNC(c2ccc(CS(c3ccc(cc3)[Cl])=O)o2)=O)CC1,E535-3076,123,6,1,9,6,2.63,0.73,-1.3,85.
CCOC(C1C(c2ccc(cc2)N(C)C)N2C(=NC=1C)SC(=Cc1ccccc1[Cl])C2=O)=O,2030-0011,8,6,0,6,6,5.28,5.32,-5.97,62.21
CCOC(C1C(c2cccc(c2)O)NC(N(CCO)C=1C)=O)=O,8010-8389,26,7,3,8,7,1.63,1.63,0.26,99.1
CCOC(C1CCN(CC1)C(COc1ccc2c(c1)OCO2)=O)=O,Y031-2702,26,7,0,6,7,1.14,1.14,-3.15,74.3
CCOC(C1CCN(CC1)S(c1c(C(N2CCCCC2)=O)c(C)n(C)c1C)(=O)=O)=O,G243-0459,277,6,0,7,8,1.55,3.68,-6.26,97.3
CCOC(CN(Cc1ccccc1)S(c1ccc(cc1)NC(C)=O)(=O)=O)=O,K783-0604,31,6,1,10,7,1.71,4.99,-5.78,92.78
CCOC(CNC(CNC(C1c2ccccc2C(N(c2ccc(c(c2)[Cl])OC)N=1)=O)=O)=O)=O,C066-0558,195,8,2,11,10,1.73,0.46,0.08,126.4
CCOC(CNS(c1c(C)noc1C)(=O)=O)=O,K906-2238,61,7,1,6,7,-0.32,0.83,-0.03,106.9
CCOC(N1CCC(CC1)NC(C1CCCN(C1)S(c1cccc2c1nsn2)(=O)=O)=O)=O,C444-0155,90,9,1,8,10,1.25,2.37,-3.61,121.8
CCOC(N1CCC(CC1)NC(CCCN1C(CSc2c1c(C)cc(C)n2)=O)=O)=O,C862-1811,1,8,1,7,8,1.22,1.22,-2.69,117.1
CCOC(N1CCN(CC1)Cc1nc2c(C(N(C)C(N2C)=O)=O)n1Cc1ccccc1)=O,C470-0087,141,6,0,7,10,2.48,1.62,-0.32,91.22
CCOC(NNC1CC(N(C1=O)c1ccc(cc1)OC)=O)=O,Y020-5971,43,8,2,4,8,1.01,1.01,-2.86,96.97
CCOC(Nc1ccc(cc1)S(Nc1cc(C)nc(C)n1)(=O)=O)=O,6048-0634,50,4,2,2,8,1.23,1.17,-1.55,118.7
CCOC(c1ccc(cc1)NC(CC1C(N(C(N1CCOC)=O)c1cccc(c1)OC)=O)=O)=O,C636-0987,113,7,1,12,10,2.53,1.55,-1.58,114.5
CCOC(c1ccc(cc1)NS(c1c(C(N2CCCCC2)=O)c(C)[nH]c1C)(=O)=O)=O,G242-0506,298,5,2,8,8,2.24,2.51,-0.71,117.
CCOCCCNC(C(c1ccc(cc1)[Cl])N1CCN(CC1)C(c1ccco1)=O)=O,C094-2296,101,6,1,11,7,1.76,1.23,-0.19,75.02
CCOc1cc(C=NNC(c2ccncc2)=O)ccc1OC(c1ccco1)=O,8003-6731,15,7,1,9,8,2.14,1.89,-2.16,103.
CCOc1cc(ccc1O)C1C2=C(CC(C)(C)CC2=O)N(CCOC)C2CC(C)(C)CC(C1=2)=O,4984-2181,58,5,1,7,6,3.45,4.45,-5.49,76.07
CCOc1cc2CNC(c3ccccc3F)c3cccn3c2cc1OCC,8015-3275,30,4,1,5,4,3.99,3.57,-4.82,35.42
CCOc1ccc(CNC(CCS(Cc2ccc(C)cc2)(=O)=O)=O)cc1OC,K786-7221,1,5,1,11,6,3.06,5.99,-6.65,81.7
CCOc1ccc(cc1)C(NCCN1CCOCC1)=O,Y030-2188,7,5,1,6,5,1.27,1.201,-0.8421,50.8
CCOc1ccc(cc1C)S(N1CCC(CC1)C(NCc1ccccn1)=O)(=O)=O,Y050-1501,30,7,1,7,7,2.99,3.539,-8.399,96.98
CCOc1ccc(cc1[Cl])S(N1CCCC(C1)C(NC1CC1)=O)(=O)=O,Y050-2196,22,6,1,6,6,2.98,2.98,-4.23,84.09
CCOc1ccc2c(c1)C(CC(C)(C)O2)N(CCN1CCOCC1)C(Nc1ccc(cc1OC)OC)=O,K788-0070,211,7,1,11,9,3.34,5.47,-3.08,81.73
CCOc1ccccc1N(C)C(CCS(c1ccc2c(c1)NC(CO2)=O)(=O)=O)=O,E511-0468,70,6,1,8,8,1.57,0.62,-1.33,110.4
CCOc1ccccc1OCC(Nc1ccc(cc1)S(Nc1ncccn1)(=O)=O)=O,3643-3351,154,7,2,10,9,2.01,0.57,-2.71,119.5
CCOc1ccccc1OCc1nn2c(c3ccc(C)cc3)nnc2s1,D064-0041,64,6,0,6,6,4.57,4.81,-6.09,89.78
CCc1ccc(cc1)C1CC(NC2=C1C(N=C1C(C)=CC=CN12)=O)=O,8017-1488,27,5,1,2,5,4.07,4.07,-5.06,61.77
CCc1ccccc1NC(C1c2ccccc2Oc2ccccc12)=O,3010-2032,134,2,1,4,3,4.82,6.28,-5.22,38.33
CCc1ccccc1NC1=NN2C(=Nc3cc(ccc3C2=O)C(N2CCC(CC2)C(=O)OCC)=O)S1,K284-7805,84,7,1,8,9,4.88,2.97,-2.43,129.
CCc1ccccc1NS(Cc1ccccc1)(=O)=O,Y030-1516,47,3,1,4,3,3.12,3.11,-3.41,54.55
CCc1nnc(NC(C2CC(N(CCc3ccc(cc3)F)C2)=O)=O)s1,Y031-4297,35,6,1,5,6,2.7,2.7,-4.23,103.4
CCn1cc(CCC(NC(C)C)=O)c2ccccc12,E542-0430,2,1,1,6,3,2.55,4.38,-5.78,34.03
CN(C)CCOC(CC12CC3CC(C1)CC(C3)(CC(=O)OCCN(C)C)C2)=O,1523-5958,50,6,0,12,6,2.5,2.85,-2.69,59.08
CN(C)c1ccc(C=C2C=C(c3ccccc3)OC2=O)cc1,4185-0019,22,2,0,3,3,3.71,5.26,-5.19,33.45
CN1C(=O)Oc2cc(ccc12)S(CCC(NCc1cccc(c1)OC)=O)(=O)=O,E975-1164,8,6,1,8,8,1.95,1.34,-2.74,110.4
CN1C2=C(C(C(C#N)=C(N)O2)c2ccc(cc2)[Cl])C(N(C)C1=O)=O,8006-4483,44,5,2,2,7,2.63,0.7,-2.62,99.66
CNC(COc1ccc(cc1)C1c2ccccc2C(N(C)N=1)=O)=O,6434-3519,8,4,1,5,6,1.88,1.32,-3.04,71.
COC(CCC(Nc1cc(ccc1OC)OC)=O)=O,8004-4744,36,5,1,8,6,0.99,0.88,-2.04,73.86
COC(CNC(Cc1c(cccc1[Cl])F)=O)=O,Y031-0057,45,4,1,5,4,2.03,2.03,-2.88,55.4
COC(Nc1ccc(cc1)S(N1CCCCC1)(=O)=O)=O,0831-0999,5,6,1,4,6,2.42,2.42,-2.94,84.09
COC(c1c(ccs1)NC(CSCCc1ccccn1)=O)=O,K788-9877,176,6,1,9,5,1.91,2.17,-3.83,68.29
COC(c1ccc(C=NN2CCN(CC2)Cc2ccccc2[Cl])cc1)=O,3253-1057,8,5,0,6,5,4.03,4.36,-6.06,45.14
COC(c1ccc(cc1)NC(COc1ccc(cc1)[Br])=O)=O,1682-7515,43,5,1,7,5,3.05,3.62,-4.28,64.63
COC(c1ccc(cc1)OCc1nnn[nH]1)=O,8017-5182,33,7,1,5,7,1.43,-0.53,-2.83,89.99
COC(c1ccc2C(N(CCCN3CCCC3=O)C(Nc2c1)=S)=O)=O,K284-0154,17,5,1,6,7,1.44,0.47,0.3,111.
COCCCNC(CSC1=Nc2ccccc2C(N1CCC(NCCc1ccc(c(c1)OC)OC)=O)=O)=O,K284-4628,17,8,2,17,10,2.41,2.12,-2.35,118.6
COCCCNC(CSC1=Nc2ccccc2C(N1CCCC(NCC1CCCO1)=O)=O)=O,K284-4216,60,7,2,15,9,1.22,2.16,-0.34,109.3
COc1cc(c(cc1NC(NCCc1ccc(cc1)S(N)(=O)=O)=S)OC)[Cl],5743-0407,112,7,4,9,7,3.81,2.64,-4.47,134.8
COc1cc(cc(c1OC)OC)C(N(Cc1cccc(c1)[Cl])C1CCS(C1)(=O)=O)=O,6214-0276,27,7,0,8,7,2.95,1.72,-3.16,90.52
COc1cc(cc(c1OC)OC)C(NC(c1ccccc1)c1ccccc1)=O,Y030-3235,30,5,1,7,5,3.12,3.797,-5.554,56.79
COc1cc(cc(c1OC)OC)C(NCCC(NCc1ccc2c(c1)OCO2)=O)=O,K784-8060,81,7,2,11,9,1.65,1.44,-1.73,104.3
COc1cc(cc(c1OC)OC)C1=C(C#N)C(N2CCSC2=N1)=O,Y020-7780,4,7,0,2,7,1.41,1.41,-4.03,109.5
